erp_customer_id,customer_name,email,phone,city,state,country,customer_type
E0001,Apollo Hospitals Hyderabad Branch 1,contact001@medcore-demo.in,+919810000001,Bangalore,Telangana,India,Provider
E0002,Sunrise Clinic Bangalore Branch 1,contact002@medcore-demo.in,+919810000002,Bangalore,Karnataka,India,Provider
E0003,Ishaan Pharmacy Mumbai 003,contact003@medcore-demo.in,+919810000003,Mumbai,Maharashtra,India,Pharmacy
E0004,Carewell Medical Centre Pune Branch 1,contact004@medcore-demo.in,+919810000004,Pune,Maharashtra,India,Provider
E0005,Zenith Diagnostics Chennai Branch 1,contactapollo.com,+919810000005,chennai,Tamil Nadu,India,Provider
E0006,Meera Pharmacy Delhi 006,contact006@medcore-demo.in,+919810000006,Delhi,Delhi,INDIA,Pharmacy
E0007,Nova Health Distributors Hyderabad Branch 1,contact007@medcore-demo.in, 9810000007,Hyderabad,Telangana,India,Provider
E0008,Medisource Pharmacy Bangalore Branch 1 Pvt. Ltd.,contact008@medcore-demo.in,+919810000008,Bangalore,Karnataka,India,Provider
E0009,Aarav Pharmacy Mumbai 009,CONTACT009@MEDCORE-DEMO.IN,+919810000009,Mumbai,Maharashtra,India,Pharmacy
E0010,Sunrise Clinic Pune Branch 2,contact010@medcore-demo.in,+919810000010,pune,Maharashtra,India,Provider
E0011,  green valley pharmacy chennai branch 2  ,contact011@medcore-demo.in,+919810000011,Chennai,Tamil Nadu,India,Provider
E0012,Kavya Pharmacy Delhi 012,contact012@medcore-demo.in,+919810000012,Delhi,Delhi,INDIA,Pharmacy
E0013,Zenith Diagnostics Hyderabad Branch 2,contact013@medcore-demo.in,12345,Hyderabad,Telangana,India,Provider
E0014,Lifeline Hospital Bangalore Branch 2,contact014@medcore-demo.in, 9810000014,Bangalore,Karnataka,India,Provider
E0015,Arjun Pharmacy Mumbai 015,contact015@medcore-demo.in,+919810000015,mumbai,Maharashtra,India,Pharmacy
E0016,Medisource Pharmacy Pune Branch 2 Pvt. Ltd.,contact016@medcore-demo.in,+919810000016,Pune,Maharashtra,India,Provider
