transaction_id,customer_id,customer_name,product_id,product_name,transaction_date,quantity,unit_price,revenue
T00001,C0008,Medisource Pharmacy Bangalore Branch 1 Pvt. Ltd.,SP002,MET 500MG,2026-06-22,30,42.5,1275.0
T00002,C0117,Rohan Pharmacy Mumbai 117,SP001,AMOX 500MG,2026-07-10,35,240.0,8400.0
T00003,C0070,Lifeline Hospital Pune Branch 9,SP003,ATORVA 10MG,2026-04-20,2,75.0,150.0
T00004,C0072,Nisha Pharmacy Delhi 072 Pvt. Ltd.,SP006,CETI 10MG,2026-07-17,34,120.0,4080.0
T00005,C0067,Green Valley Pharmacy Hyderabad Branch 9,SP006,CETI 10MG,2026-07-18,38,75.0,2850.0
T00006,C0040,Medisource Pharmacy Pune Branch 5 Pvt. Ltd.,SP002,MET 500MG,2026-02-22,43,75.0,3225.0
T00007,C0104,Medisource Pharmacy Bangalore Branch 13 Pvt. Ltd.,SP006,CETI 10MG,2026-06-11,19,75.0,1425.0
T00008,C0018,Diya Pharmacy Delhi 018,SP002,MET 500MG,2026-01-24,20,120.0,2400.0
T00009,C0109,Zenith Diagnostics Hyderabad Branch 14,SP001,AMOX 500MG,2026-07-08,37,75.0,2775.0
T00010,C0095,Nova Health Distributors Chennai Branch 12,SP004,PCM 650MG,2026-04-05,11,120.0,1320.0
T00011,C9999,Aarav Pharmacy Mumbai 057,SP004,PCM 650MG,2026-07-03,24,240.0,5760.0
T00012,C0102,Meera Pharmacy Delhi 102,SP003,ATORVA 10MG,2026-04-05,2,240.0,480.0
T00013,C0071,Nova Health Distributors Chennai Branch 9,SP001,AMOX 500MG,2026-06-07,9,42.5,382.5
T00014,C0033,  aarav pharmacy mumbai 033  ,SP003,ATORVA 10MG,2026-05-19,19,75.0,1425.0
T00015,C0048,Nisha Pharmacy Delhi 048 Pvt. Ltd.,SP001,AMOX 500MG,2026-07-02,38,75.0,2850.0
T00016,C0032,Medisource Pharmacy Bangalore Branch 4 Pvt. Ltd.,SP001,AMOX 500MG,2026-06-28,31,75.0,2325.0
T00017,C0102,Meera Pharmacy Delhi 102,SP003,ATORVA 10MG,2026-02-27,1,240.0,240.0
T00018,C0074,Sunrise Clinic Bangalore Branch 10,SP005,OMEP 20MG,2026-05-24,2,240.0,480.0
T00019,C0086,Lifeline Hospital Bangalore Branch 11,SP002,MET 500MG,2026-06-10,26,42.5,1105.0
T00020,C0073,Apollo Hospitals Hyderabad Branch 10,SP004,PCM 650MG,2026-03-20,6,120.0,720.0
T00021,C0119,Nova Health Distributors Chennai Branch 15,SP005,OMEP 20MG,2026-02-10,-4,240.0,3360.0
T00022,C0003,Ishaan Pharmacy Mumbai 003,SP006,CETI 10MG,2026-03-02,16,240.0,3840.0
T00023,C0050,Sunrise Clinic Bangalore Branch 7,SP001,AMOX 500MG,2026-07-07,13,75.0,975.0
T00024,C0102,Meera Pharmacy Delhi 102,SP005,OMEP 20MG,2026-01-12,27,42.5,1147.5
