master_customer_id,master_name,email,phone,city,state,country,customer_type
MC0001,Apollo Hospitals Hyderabad Branch 1,contact001@medcore-demo.in,+91 9810000001,Hyderabad,Telangana,India,Provider
MC0002,Sunrise Clinic Bangalore Branch 1,contact002@medcore-demo.in,+91 9810000002,Bangalore,Karnataka,India,Provider
MC0003,Ishaan Pharmacy Mumbai 003,contact003@medcore-demo.in,+91 9810000003,Mumbai,Maharashtra,India,Pharmacy
MC0004,Carewell Medical Centre Pune Branch 1,contact004@medcore-demo.in,+91 9810000004,Pune,Maharashtra,India,Provider
MC0005,Zenith Diagnostics Chennai Branch 1,apollo@,+91 9810000005,Chennai,Tamil Nadu,India,Provider
MC0006,Meera Pharmacy Delhi 006,contact006@medcore-demo.in,+91 9810000006,Delhi,Delhi,India,Pharmacy
MC0007,Nova Health Distributors Hyderabad Branch 1,contact007@medcore-demo.in,+91 9810000007,Hyderabad,Telangana,India,Provider
MC0008,MEDISOURCE PHARMACY BANGALORE BRANCH 1,contact008@medcore-demo.in,+91 9810000008,Bangalore,Karnataka,India,Provider
MC0009,Aarav Pharmacy Mumbai 009,contact009@medcore-demo.in,+91 9810000009,Mumbai,Maharashtra,India,Pharmacy
MC0010,Sunrise Clinic Pune Branch 2,contact010@medcore-demo.in,+91 9810000010,Pune,Maharashtra,India,Provider
MC0011,  green valley pharmacy chennai branch 2  ,contact011@medcore-demo.in,+91 9810000011,Chennai,Tamil Nadu,India,Provider
MC0012,Kavya Pharmacy Delhi 012,contact012@medcore-demo.in,+91 9810000012,Delhi,Delhi,India,Pharmacy
MC0013,Zenith Diagnostics Hyderabad Branch 2,contact013@medcore-demo.in,98AB1234,Hyderabad,Telangana,India,Provider
MC0014,Lifeline Hospital Bangalore Branch 2,contact014@medcore-demo.in,+91 9810000014,Bangalore,Karnataka,India,Provider
MC0015,Arjun Pharmacy Mumbai 015,contact015@medcore-demo.in,+91 9810000015,Mumbai,Maharashtra,India,Pharmacy
MC0016,MEDISOURCE PHARMACY PUNE BRANCH 2,contact016@medcore-demo.in,+91 9810000016,Pune,Maharashtra,India,Provider
MC0017,Apollo Hospitals Chennai Branch 3,contact017@medcore-demo.in,+91 9810000017,Chennai,Tamil Nadu,India,Provider
MC0018,Diya Pharmacy Delhi 018,contact018@medcore-demo.in,+91 9810000018,Delhi,Delhi,India,Pharmacy
MC0019,Green Valley Pharmacy Hyderabad Branch 3,contact019@medcore-demo.in,+91 9810000019,Hyderabad,Telangana,India,Provider
MC0020,Carewell Medical Centre Bangalore Branch 3,contact020@medcore-demo.in,+91 9810000020,Bangalore,Karnataka,India,Provider
MC0021,Rohan Pharmacy Mumbai 021,contact021@medcore-demo.in,+91 9810000021,Mumbai,Maharashtra,India,Pharmacy
MC0022,  lifeline hospital pune branch 3  ,contact022@medcore-demo.in,+91 9810000022,Pune,Maharashtra,India,Provider
MC0023,Nova Health Distributors Chennai Branch 3,contact023@medcore-demo.in,+91 9810000023,Chennai,Tamil Nadu,India,Provider
MC0024,NISHA PHARMACY DELHI 024,contact024@medcore-demo.in,+91 9810000024,Delhi,Delhi,India,Pharmacy
MC0025,Apollo Hospitals Hyderabad Branch 4,contact025@medcore-demo.in,+91 9810000025,Hyderabad,Telangana,India,Provider
MC0026,Sunrise Clinic Bangalore Branch 4,contact026@medcore-demo.in,+91 9810000026,Bangalore,Karnataka,India,Provider
MC0027,Ishaan Pharmacy Mumbai 027,contact027@medcore-demo.in,+91 9810000027,Mumbai,Maharashtra,India,Pharmacy
MC0028,Carewell Medical Centre Pune Branch 4,contact028@medcore-demo.in,+91 9810000028,Pune,Maharashtra,India,Provider
MC0029,Zenith Diagnostics Chennai Branch 4,contact029@medcore-demo.in,+91 9810000029,Chennai,Tamil Nadu,India,Provider
MC0030,Meera Pharmacy Delhi 030,contact030@medcore-demo.in,+91 9810000030,Delhi,Delhi,India,Pharmacy
MC0031,Nova Health Distributors Hyderabad Branch 4,contact031@medcore-demo.in,+91 9810000031,Hyderabad,Telangana,India,Provider
MC0032,MEDISOURCE PHARMACY BANGALORE BRANCH 4,contact032@medcore-demo.in,+91 9810000032,Bangalore,Karnataka,India,Provider
MC0033,  aarav pharmacy mumbai 033  ,contact033@medcore-demo.in,+91 9810000033,Mumbai,Maharashtra,India,Pharmacy
